iter	Passed	Remaining
0	0	82
1	1	75
2	2	74
3	2	69
4	3	68
5	4	68
6	5	68
7	5	68
8	6	67
9	7	66
10	8	65
11	8	65
12	9	64
13	10	63
14	11	62
15	11	61
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	16	56
22	16	56
23	17	55
24	18	54
25	19	54
26	19	53
27	20	53
28	21	52
29	22	51
30	22	51
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
